Month,Day,Day Of Week,Origin Airport Delay Rate,Destination Airport Delay Rate,Scheduled Time,Distance,Scheduled Departure Hour,Scheduled Departure Minute,Arrival Delay,Airline_AS,Airline_B6,Airline_DL,Airline_EV,Airline_F9,Airline_HA,Airline_MQ,Airline_NK,Airline_OO,Airline_UA,Airline_US,Airline_VX,Airline_WN
0.0,-0.40580976383845024,0.9026070243159884,-0.6075705912306887,-0.5381438009960184,0.3703026368809781,0.25333348288939994,1.2881146079757277,-0.6363472358529076,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.7961077686955758,-0.5281495896475045,1.5266177876828197,1.6962936318119524,-0.009404096866461539,-0.2396461382898751,-1.2083429376944272,-1.3472801011622466,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,1.2456283855620693,-1.0050684609686686,-0.6075705912306887,-0.5381438009960184,0.01678257442646533,-0.011991097280176666,-0.5842285512768884,-1.1832186707062453,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.6951490024285628,-1.4819873322898331,-0.6075705912306887,-0.5381438009960184,-1.4627643536239028,-1.2026760959424123,1.9122289943932667,1.6058256470457772,-3.0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,-1.5067685301054632,-0.05123071832634016,1.5108020935060413,1.6962936318119524,1.2606494608404917,0.7643289706233992,1.0800764791698816,-0.08947580099956987,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.6951490024285628,-1.4819873322898331,-0.6075705912306887,-0.5381438009960184,-1.0961509555229265,-0.8325319285453487,1.0800764791698816,0.183959916427099,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,1.7961077686955758,-0.5281495896475045,-0.6075705912306887,-0.5381438009960184,1.2868361321334185,1.2474817555000974,-1.4163810665002736,-1.3472801011622466,32.0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,1.7961077686955758,-0.5281495896475045,-0.6075705912306887,-0.5381438009960184,0.9856894122647595,0.7201082072618031,-0.7922666800827347,-1.4566543881329141,-35.0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,-0.9562891469719568,0.42568815299482415,1.5108020935060413,1.6962936318119524,1.1428094400223208,0.7643289706233992,0.664000221558189,-0.9097829532795765,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,-0.9562891469719568,0.42568815299482415,1.522665586981128,-0.5381438009960184,-0.6116975366037796,-0.5901366330817849,0.24792396394649655,-0.08947580099956987,-23.0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.6951490024285628,-1.4819873322898331,1.6114957938734238,-0.5381438009960184,-0.009404096866461539,-0.1184484905580932,-1.2083429376944272,1.2777027861337744,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,-0.9562891469719568,0.42568815299482415,-0.6075705912306887,-0.5381438009960184,1.3784894816586626,1.141024362222181,2.120267123199113,-0.9097829532795765,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.6951490024285628,-1.4819873322898331,-0.6075705912306887,-0.5381438009960184,0.7238226993354908,0.574343468773579,-1.4163810665002736,-1.1832186707062453,-41.0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,-1.5067685301054632,-0.05123071832634016,-0.6075705912306887,-0.5381438009960184,-1.0961509555229265,-1.1093211510679317,0.24792396394649655,1.5511385035604435,-14.0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.6951490024285628,-1.4819873322898331,1.4506614304471828,1.65804038628132,0.5797960072243931,0.29264082809970754,-0.7922666800827347,-0.5269729488822401,9.0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,1.2456283855620693,-1.0050684609686686,-0.6075705912306887,-0.5381438009960184,-0.009404096866461539,0.1239468049054706,-1.4163810665002736,-0.9097829532795765,-18.0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,1.2456283855620693,-1.0050684609686686,-0.6075705912306887,-0.5381438009960184,0.22627594476988028,-0.046385024339195856,-0.7922666800827347,0.9495799252217718,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,-0.9562891469719568,0.42568815299482415,1.4502769297892941,-0.5381438009960184,-0.11415078203816902,-0.011991097280176666,0.03988583514065029,-0.08947580099956987,15.0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.6951490024285628,-1.4819873322898331,-0.6075705912306887,-0.5381438009960184,0.01678257442646533,-0.2167168535838623,-1.4163810665002736,0.45739563385376786,-14.0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,1.2456283855620693,-1.0050684609686686,-0.6075705912306887,-0.5381438009960184,1.0249694192041499,0.9494010543219311,0.4559620927523428,1.0589542121924393,-3.0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.6951490024285628,-1.4819873322898331,-0.6075705912306887,-0.5381438009960184,0.6321693498102468,0.9215583514646298,-2.664609839335351,1.5511385035604435,-14.0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,-0.9562891469719568,0.42568815299482415,1.4882008367831523,-0.5381438009960184,0.7369160349819542,0.3909091911254767,0.24792396394649655,0.4027084903684341,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,-1.5067685301054632,-0.05123071832634016,-0.6075705912306887,-0.5381438009960184,0.5405160002850027,0.8625973336491684,-1.000304808888581,1.5511385035604435,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.6951490024285628,-1.4819873322898331,1.7498027380887597,-0.5381438009960184,0.4750493220526855,0.30738108255357294,1.2881146079757277,-0.7457215228235752,25.0,0,0,0,0,0,0,0,0,0,1,0,0,0
